Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
51;Blank Space;Taylor Swift;29/05/2023;0.76;0.703;-5412.0;0.054;0.103;0.0;0.57;1u8c2t2Cy7UBoG4ArRcF5g
52;Hey Mor;Ozuna, Feid;29/05/2023;0.901;0.589;-6713.0;0.289;0.003;0.0;0.399;1zsPaEkglFvxjAhrM8yhpr
53;Frágil;Yahritza Y Su Esencia, Grupo Frontera;29/05/2023;0.605;0.726;-4515.0;0.031;0.365;0.0;0.393;4JdSXF2p71cr8uCY3UiJM0
54;Snow On The Beach (feat. More Lana Del Rey);Taylor Swift, Lana Del Rey;29/05/2023;0.664;0.401;-10934.0;0.034;0.806;0.0;0.315;4zmKGsrXjLmljb5fTaBTot
55;Coco Chanel;Eladio Carrion, Bad Bunny;29/05/2023;0.683;0.764;-5995.0;0.044;0.043;0.0;0.137;0PB0O24JqAuNdOAFVJljMS
56;Blinding Lights;The Weeknd;29/05/2023;0.514;0.73;-5934.0;0.06;0.001;0.0;0.334;0VjIjW4GlUZAMYd2vXMi3b
57;Viva La Vida;Coldplay;29/05/2023;0.486;0.617;-7115.0;0.029;0.095;0.0;0.417;1mea3bSkSGXuIRvnydlB5b
58;Mockingbird;Eminem;29/05/2023;0.637;0.678;-3798.0;0.266;0.209;0.0;0.254;561jH07mF1jHuk7KlaeF0s
59;cardigan;Taylor Swift;29/05/2023;0.613;0.581;-8588.0;0.042;0.537;0.0;0.551;4R2kfaDFhslZEMJqAFNpdd
60;Baby Don't Hurt Me;David Guetta, Anne-Marie, Coi Leray;29/05/2023;0.602;0.91;-3404.0;0.031;0.001;0.0;0.228;3BKD1PwArikchz2Zrlp1qi
61;Heat Waves;Glass Animals;29/05/2023;0.761;0.525;-6.9;0.094;0.44;0.0;0.531;3USxtqRwSYz57Ewm6wWRMp
62;Sweater Weather;The Neighbourhood;29/05/2023;0.612;0.807;-2.81;0.034;0.05;0.018;0.398;2QjOHCTQ1Jl3zawyYOpxh6
63;Money Trees;Kendrick Lamar, Jay Rock;29/05/2023;0.716;0.531;-7355.0;0.122;0.07;0.0;0.344;2HbKqm4o0w5wEeEFXm2sD4
64;Style;Taylor Swift;29/05/2023;0.588;0.791;-5595.0;0.04;0.002;0.003;0.487;0ug5NqcwcFR2xrfTkc7k8e
65;Karma (feat. Ice Spice);Taylor Swift, Ice Spice;29/05/2023;0.615;0.616;-6523.0;0.062;0.062;0.0;0.073;4i6cwNY6oIUU2XZxPIw82Y
66;Tak Segampang Itu;Anggi Marito;29/05/2023;0.506;0.438;-7069.0;0.027;0.759;0.0;0.178;26cvTWJq2E1QqN4jyH2OTU
67;Dandelions;Ruth B.;29/05/2023;0.609;0.692;-2958.0;0.026;0.016;0.0;0.454;2eAvDnpXP5W0cVtiI0PUxV
68;Miracle (with Ellie Goulding);Calvin Harris, Ellie Goulding;29/05/2023;0.636;0.869;-5289.0;0.041;0.038;0.045;0.306;5eTaQYBE1yrActixMAeLcZ
69;Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;29/05/2023;0.621;0.782;-5548.0;0.044;0.013;0.033;0.55;2tTmW7RDtMQtBk7m2rYeSw
